285
56	33
56	15
56	92
56	9
15	76
15	53
15	65
15	9
6	17
6	59
6	43
17	59
17	33
17	63
17	4
17	27
17	43
59	33
59	52
59	22
59	80
59	43
59	34
43	80
43	27
97	92
97	87
97	63
97	33
92	33
92	9
92	87
63	33
63	4
63	87
87	4
87	9
87	81
9	65
9	44
9	81
3	46
3	64
3	71
3	75
71	93
71	14
71	75
71	91
71	73
71	68
71	46
49	68
49	44
49	65
49	53
49	73
65	53
65	44
82	88
82	28
82	39
82	37
82	18
82	79
82	29
42	76
42	47
42	83
42	38
53	76
53	73
53	60
73	14
73	68
73	60
5	20
5	98
5	90
5	54
93	14
93	46
93	98
93	57
93	94
81	4
81	44
81	84
4	27
4	19
4	84
13	68
13	44
13	84
13	19
13	91
68	91
68	44
44	84
84	19
19	27
19	75
19	91
91	75
75	27
75	70
75	64
75	96
45	8
45	37
45	39
45	24
45	36
37	39
37	79
37	8
39	18
39	24
72	52
72	51
72	36
72	99
72	1
72	95
36	99
36	77
36	24
36	8
36	95
28	88
28	66
28	79
28	10
28	55
28	16
28	86
66	88
66	98
66	20
66	86
20	98
20	54
20	86
54	69
54	67
54	90
54	86
67	69
67	86
41	32
41	55
41	10
41	47
41	2
41	69
41	86
32	51
32	58
32	55
55	58
55	10
55	16
10	86
86	69
70	64
70	78
70	85
70	96
70	11
88	98
88	29
88	89
46	98
46	64
46	89
64	11
64	89
98	90
98	94
98	89
24	77
24	18
24	12
77	99
77	30
77	85
77	12
77	50
99	1
99	50
34	52
34	22
34	74
22	80
22	74
78	30
78	85
78	96
78	80
78	74
38	47
38	83
38	35
47	57
47	2
47	35
61	83
61	76
61	60
61	14
61	35
61	57
83	76
83	35
76	60
60	14
14	57
35	57
57	2
57	94
57	25
48	27
48	80
48	96
27	80
27	96
80	96
80	74
21	58
21	31
21	95
21	51
58	51
58	16
58	31
95	8
95	31
95	51
62	16
62	31
62	79
62	8
16	79
16	31
31	8
79	8
26	0
26	85
26	11
85	30
85	11
85	12
85	0
11	89
11	0
7	89
7	29
7	18
7	12
7	0
89	29
89	0
29	18
18	12
12	0
40	1
40	52
40	74
40	30
40	50
1	52
1	50
52	74
74	30
30	50
23	94
23	90
23	25
23	69
23	2
94	90
94	25
90	69
25	2
69	2
